east,south,length,width,segment,inside,area,points,abraders,discs,earplugs,effigies,ceramics,total,types
901.39,75.07,12,12,2,0,144,0,1,0,0,0,0,1,1
973.01,81.33,16,16,2,0,256,0,0,0,0,1,0,1,1
889.71,163.21,17,18,1,1,306,1,0,1,0,1,1,4,4
924.16,193.1,21,21.5,1,1,451.5,2,1,1,1,0,5,10,8
911.9,216.55,20.5,20,1,1,410,3,2,2,1,0,4,12,9
939.73,250.75,16.5,16,1,1,264,0,0,0,0,0,0,0,0
948.29,229.06,18,19,1,1,342,5,0,5,0,0,4,14,8
962.5,211.67,21,19,1,1,399,13,0,0,2,2,12,29,17
979.24,194.28,7.5,8,2,0,60,0,0,0,0,0,0,0,0
991.69,153.24,19,15.5,2,0,217,1,0,0,0,1,0,2,2
982.35,175.13,17.5,17,2,0,297.5,2,0,1,0,0,0,3,3
989.16,250.17,13,10.5,3,0,136.5,0,0,0,0,0,0,0,0
998.31,211.08,13.5,12,3,0,162,0,0,1,0,0,0,1,1
994.03,228.47,13,13,3,0,169,0,0,1,0,0,2,3,3
765.34,297.26,16.5,17,1,1,280.5,3,1,2,1,0,1,8,7
786.94,255.64,21,20.5,1,1,430.5,8,1,7,0,1,10,27,16
796.29,228.47,19,19,1,1,361,7,1,11,1,0,18,38,14
809.33,204.24,20,19,1,1,380,6,7,4,0,0,14,31,9
835.8,184.31,19,18,1,1,342,2,1,3,0,1,10,17,10
844.55,165.75,15,16,1,1,240,2,1,2,1,1,4,11,7
867.91,203.66,21,20,1,1,420,7,1,3,2,2,20,35,14
877.25,180.6,18,20.5,1,1,369,3,0,2,1,0,3,9,7
825.87,142.69,12,12,2,0,144,1,1,0,0,0,2,4,4
813.03,158.32,14,14.5,2,0,203,1,0,0,1,0,4,6,5
800.57,177.47,14.5,15,2,0,217.5,2,0,0,0,0,1,3,2
935.45,451.83,10,12,3,0,120,0,5,0,0,0,0,5,1
953.35,407.67,11.5,12.5,3,0,143.75,1,0,0,1,0,1,3,3
959.39,385.39,14,14,3,0,196,2,0,1,0,0,1,4,4
967.56,365.66,16.5,15,3,0,247.5,0,0,0,0,0,0,0,0
1017.58,274.98,16.5,14.5,3,0,239.25,4,0,0,0,1,0,5,5
1026.14,256.42,12,11.5,3,0,138,2,0,0,0,0,0,2,2
1047.94,216.55,10,11,2,0,110,0,1,0,0,0,0,1,1
1057.09,196.82,9,10,2,0,90,1,0,0,0,0,1,2,2
1018.16,200.53,16,16,2,0,256,0,0,0,0,0,0,0,0
932.92,359.99,14,14,3,0,196,0,0,0,0,0,0,0,0
922.41,384.22,15,15,3,0,225,1,1,0,0,0,0,2,2
908.2,405.33,14,15,3,0,210,3,0,0,0,0,0,3,3
898.27,425.06,16,16,3,0,256,1,0,0,0,0,2,3,3
854.48,397.9,18.5,19.5,1,1,360.75,2,0,0,3,1,1,7,4
864.8,376.21,18,18,1,1,324,0,0,0,0,0,0,0,0
894.57,356.28,14.5,14.5,1,1,210.25,3,0,0,0,1,0,4,4
898.27,330.29,14,16,1,1,224,2,0,0,0,0,2,4,3
905.08,310.35,18.5,18,1,1,333,1,0,0,0,0,3,4,3
913.65,289.25,18,24,1,1,432,14,2,5,2,3,8,34,16
866.74,288.08,20.5,16.5,1,1,338.25,12,0,1,0,1,4,18,13
865.57,314.07,16,16,1,1,256,2,0,0,0,2,1,5,4
859.35,336.34,18,17.5,1,1,315,6,2,4,4,0,7,23,11
