block,sites,area,elevation
1,53,2.863349498081118,1.3318573060343362
2,92,4.411013934650447,1.430946753155016
3,108,3.605292994460202,1.967612494244737
4,52,3.443931840963627,1.5211525174273728
5,37,2.477410292375975,1.538786320548284
6,132,3.9279556403057274,2.014519496064984
7,46,2.7441528488686786,1.6382748617967606
8,10,1.3312929014589812,1.1204816296180398
9,48,3.39163756753958,1.2939441444319422
10,103,5.4703945744972255,1.3663014089700125
11,90,3.079444859826573,1.8672245392318385
12,110,4.972742915560054,1.6079441481172092
13,25,1.4113876667373373,1.6202314351782157
14,77,3.9111008551607367,1.533204814783536
15,106,4.8310515263095395,1.3332476595737774
16,167,4.481845379466743,2.0360739410409234
17,95,4.169081910638309,1.6493551434687719
18,20,2.9748703867113977,0.9100148530111085
19,58,2.6404730463462682,1.7104067704691057
20,37,2.3613939350321385,1.3581625776816197
21,61,4.188234555360202,1.1796528882039465
22,34,2.4840406173043164,1.4346075256025115
23,37,3.215108090078931,1.192198665507828
24,45,3.5902524924828043,1.2813326312126578
25,140,6.950179208371532,1.312488219645223
26,21,2.9568801572872663,0.9939920067772761
27,113,4.376618515655771,1.7513361133483574
28,85,4.124737359301937,1.5460119353509545
29,22,2.461029385391794,1.1585589188964156
30,121,3.885907062202242,1.876144476320978
31,178,6.3112813734773585,1.627939266443044
32,93,4.7224064849267435,1.4114785551023186
33,103,4.0659726751887035,1.7685376983135066
34,72,3.3240050682566,1.7634400462599127
35,12,0.714804445535175,1.7464743244912462
36,155,5.81013954146268,1.7065920762300273
37,20,1.6629758865202846,1.6661752960612766
38,105,5.183916017403735,1.4814264868269835
39,175,7.054565710747974,1.408211200878025
40,19,1.6897709424451208,1.3858586996962852
41,72,5.122854936599538,1.2915879063238462
42,47,3.580484016956051,1.4376248165941203
43,11,1.4845693453672197,1.1203810945295207
44,39,1.5765317539491974,2.150686789601554
45,22,1.4375421222806501,1.862388599491497
46,46,3.1505495645275152,1.1630674250389952
47,18,1.6611910640065601,1.3791345494102771
48,101,5.100666836761324,1.3600033939130343
49,242,7.360174304841075,1.7339895355008954
50,26,1.9407512383437138,1.4749892800584512
51,104,5.260382155960285,1.5759955541984265
52,105,5.230467585601456,1.491435973395389
53,89,4.531524126320188,1.4871388628126052
54,68,2.3865974267567873,1.9105806852043372
55,84,3.808875829390946,1.4322687043022198
56,123,3.551367463727605,1.954941181328862
57,58,4.900783253152768,1.0353741587309337
58,58,3.4040979902338737,1.6753841248908208
59,136,5.563157418696993,1.537156273153384
60,60,3.4006706275727776,1.5647824706231919
61,152,5.684338344926931,1.6138918448279647
62,33,2.3213167893342948,1.3493029640672094
63,18,1.9837516083870201,1.400037784899174
64,168,9.185663895907847,1.1944273850678733
65,42,3.333027858943309,1.1784626320573266
66,99,4.477164146465144,1.5910585924212775
67,126,5.018511478454158,1.6344629335888279
68,57,3.2259509988660104,1.5159012680191513
69,115,4.8269792709017745,1.7766802403639212
70,173,4.590343243816138,2.1150254056881432
71,54,3.6553911877732905,1.3526906501830394
72,43,4.104468853640505,0.8072493373077563
73,118,3.9454923940184576,1.801721557338677
74,139,7.4055230384258905,1.2872397712252823
75,35,2.813862245963475,1.2935974150597926
76,49,2.2464059726805377,1.8076714109090095
77,80,4.060461438673726,1.4145680978846973
78,67,4.4967691991090195,1.1337846863236394
79,112,4.698437566256293,1.554391043924745
80,50,3.266615467662231,1.4583325912682865
81,36,2.2986781856460943,1.5017292557699662
82,134,6.021096281743184,1.615584120337899
83,44,3.4405593792743123,1.3888019904622773
84,49,2.615179419754601,1.69331296455565
85,55,3.6219526896942456,1.4338540314543748
86,71,3.6845185690423166,1.599534589174709
87,170,5.775872463541825,1.8290517039448044
88,89,4.135579667515515,1.6305544472501408
89,78,5.206486056295234,1.402220524340632
90,89,3.2011327725243826,1.8446422855353282
91,127,4.343112495330562,1.798051156788636
92,60,3.4805025416146647,1.664519087852421
93,93,4.151333645077714,1.5716195205334325
94,23,2.5674186272359334,1.3116281771881886
95,49,1.902717546675245,1.9081957345590022
96,135,7.195541415596747,1.319922123855862
97,214,4.9611341178758686,2.156199897904973
98,39,1.9979658214000895,1.9597831878555567
99,52,3.0221345333113265,1.429289892269857
100,20,2.1032318646443033,1.1920737299079658
