goods,distance
3,1.157
0,3.155
2,1.642
2,3.533
0,3.762
9,0.192
3,2.117
0,3.571
1,2.21
0,1.832
1,3.828
1,1.819
0,2.714
3,2.295
6,0.421
0,3.6
3,0.992
10,0.178
2,1.318
0,3.818
0,3.559
0,2.774
0,2.566
0,3.977
0,2.626
3,2.837
0,2.181
0,2.381
1,1.164
5,0.597
0,3.852
1,3.61
1,2.766
1,3.184
6,0.108
2,1.916
1,3.036
5,0.873
6,1.28
3,0.934
3,0.58
1,1.664
0,1.661
1,1.482
6,0.618
3,0.564
2,0.94
0,1.869
2,1.071
1,3.433
8,0.193
1,1.774
0,3.198
3,0.496
0,2.248
3,0.834
5,0.519
0,3.016
0,3.581
1,1.504
1,2.664
4,0.388
2,1.542
2,1.105
0,3.26
1,1.8
1,3.242
0,3.251
0,3.179
1,1.765
1,3.02
0,2.521
1,2.844
9,0.012
2,1.907
4,0.888
1,1.525
1,2.455
4,1.414
5,0.453
5,0.982
0,2.676
2,1.676
0,3.155
5,0.42
1,1.745
0,3.94
0,3.573
1,3.547
6,0.708
3,0.531
0,2.616
6,1.381
1,2.63
5,1.288
3,0.759
0,3.131
6,0.383
0,1.872
1,2.051
